Numero treno,Nome stazione,Ora di passaggio
3F5V,EVE,2023-03-29T00:20:39+01:00
3F5V,WUM,2023-03-29T00:24:48+01:00
3F5V,QYT,2023-03-29T00:33:55+01:00
3F5V,ODU,2023-03-29T00:38:22+01:00
3F5V,RGJ,2023-03-29T00:49:00+01:00
3F5V,EVD,2023-03-29T00:54:27+01:00
3F5V,XJB,2023-03-29T01:04:07+01:00
3F5V,WQT,2023-03-29T01:15:21+01:00
3F5V,AUW,2023-03-29T01:26:58+01:00
3F5V,QNB,2023-03-29T01:38:42+01:00
3F5V,SOR,2023-03-29T01:39:45+01:00
3F5V,DIC,2023-03-29T01:43:11+01:00
3F5V,HDZ,2023-03-29T01:57:16+01:00
KNEV,QJJ,2023-03-29T02:05:07+01:00
3F5V,PVH,2023-03-29T02:08:02+01:00
KNEV,ZTK,2023-03-29T02:10:09+01:00
3F5V,ZVH,2023-03-29T02:17:42+01:00
9GAE,HBM,2023-03-29T02:19:53+01:00
YVBG,ZVV,2023-03-29T02:20:41+01:00
9GAE,RZN,2023-03-29T02:22:01+01:00
KNEV,ELR,2023-03-29T02:22:32+01:00
KNEV,TWD,2023-03-29T02:29:48+01:00
9GAE,EVE,2023-03-29T02:31:09+01:00
3F5V,RXI,2023-03-29T02:34:06+01:00
KNEV,HBM,2023-03-29T02:34:51+01:00
9GAE,WUM,2023-03-29T02:35:38+01:00
YVBG,QJJ,2023-03-29T02:35:44+01:00
KNEV,RZN,2023-03-29T02:42:42+01:00
3F5V,LEL,2023-03-29T02:45:02+01:00
9GAE,QYT,2023-03-29T02:47:35+01:00
YVBG,ZTK,2023-03-29T02:48:13+01:00
CALM,RZN,2023-03-29T02:50:03+01:00
Z0BG,TWD,2023-03-29T02:50:27+01:00
KNEV,EVE,2023-03-29T02:51:11+01:00
3F5V,DEF,2023-03-29T02:51:42+01:00
9GAE,ODU,2023-03-29T02:53:15+01:00
Z0BG,HBM,2023-03-29T02:55:09+01:00
CALM,EVE,2023-03-29T02:55:56+01:00
KNEV,WUM,2023-03-29T02:57:22+01:00
Z0BG,RZN,2023-03-29T02:58:48+01:00
YVBG,ELR,2023-03-29T03:00:28+01:00
KNEV,QYT,2023-03-29T03:06:11+01:00
9GAE,RGJ,2023-03-29T03:06:31+01:00
YVBG,TWD,2023-03-29T03:06:38+01:00
9GAE,EVD,2023-03-29T03:08:10+01:00
Z0BG,EVE,2023-03-29T03:08:46+01:00
KNEV,ODU,2023-03-29T03:10:37+01:00
CALM,WUM,2023-03-29T03:11:19+01:00
9GAE,XJB,2023-03-29T03:16:50+01:00
KNEV,RGJ,2023-03-29T03:18:37+01:00
YVBG,HBM,2023-03-29T03:19:15+01:00
Z0BG,WUM,2023-03-29T03:19:57+01:00
KNEV,EVD,2023-03-29T03:20:33+01:00
CALM,QYT,2023-03-29T03:22:25+01:00
YVBG,RZN,2023-03-29T03:26:00+01:00
Z0BG,QYT,2023-03-29T03:30:24+01:00
KNEV,XJB,2023-03-29T03:31:34+01:00
CALM,ODU,2023-03-29T03:37:26+01:00
YVBG,EVE,2023-03-29T03:41:36+01:00
Z0BG,ODU,2023-03-29T03:42:05+01:00
KNEV,WQT,2023-03-29T03:45:06+01:00
YVBG,WUM,2023-03-29T03:46:54+01:00
KNEV,AUW,2023-03-29T03:48:59+01:00
Z0BG,RGJ,2023-03-29T03:51:00+01:00
CALM,RGJ,2023-03-29T03:52:12+01:00
KNEV,QNB,2023-03-29T03:53:58+01:00
Z0BG,EVD,2023-03-29T03:59:50+01:00
YVBG,QYT,2023-03-29T04:02:02+01:00
CALM,EVD,2023-03-29T04:02:42+01:00
Z0BG,XJB,2023-03-29T04:03:49+01:00
KNEV,SOR,2023-03-29T04:04:00+01:00
Z0BG,WQT,2023-03-29T04:08:10+01:00
CALM,XJB,2023-03-29T04:10:31+01:00
Z0BG,AUW,2023-03-29T04:12:15+01:00
YVBG,ODU,2023-03-29T04:13:22+01:00
KNEV,DIC,2023-03-29T04:14:40+01:00
CALM,WQT,2023-03-29T04:20:13+01:00
YVBG,RGJ,2023-03-29T04:26:43+01:00
YVBG,EVD,2023-03-29T04:39:24+01:00
YVBG,XJB,2023-03-29T04:44:03+01:00
YVBG,WQT,2023-03-29T04:58:28+01:00
YVBG,AUW,2023-03-29T05:07:03+01:00
YVBG,QNB,2023-03-29T05:21:09+01:00
YVBG,SOR,2023-03-29T05:34:30+01:00
J43R,ZTK,2023-03-29T05:40:37+01:00
YVBG,DIC,2023-03-29T05:45:04+01:00
J43R,ELR,2023-03-29T05:47:02+01:00
J43R,TWD,2023-03-29T06:02:13+01:00
J43R,HBM,2023-03-29T06:15:26+01:00
J43R,RZN,2023-03-29T06:27:00+01:00
J43R,EVE,2023-03-29T06:31:31+01:00
J43R,WUM,2023-03-29T06:42:37+01:00
J43R,QYT,2023-03-29T06:56:28+01:00
JEWA,RPJ,2023-03-29T09:20:20+01:00
JEWA,ZVV,2023-03-29T09:31:44+01:00
2TY8,RPJ,2023-03-29T09:40:18+01:00
JEWA,QJJ,2023-03-29T09:40:54+01:00
2TY8,ZVV,2023-03-29T09:47:13+01:00
2TY8,QJJ,2023-03-29T09:52:11+01:00
JEWA,ZTK,2023-03-29T09:56:15+01:00
JEWA,ELR,2023-03-29T09:59:06+01:00
2TY8,ZTK,2023-03-29T09:59:22+01:00
JEWA,TWD,2023-03-29T10:04:58+01:00
2TY8,ELR,2023-03-29T10:11:37+01:00
2TY8,TWD,2023-03-29T10:17:03+01:00
JEWA,HBM,2023-03-29T10:17:23+01:00
JEWA,RZN,2023-03-29T10:22:43+01:00
2TY8,HBM,2023-03-29T10:24:03+01:00
2TY8,RZN,2023-03-29T10:31:45+01:00
JEWA,EVE,2023-03-29T10:38:07+01:00
2TY8,EVE,2023-03-29T10:43:33+01:00
JEWA,WUM,2023-03-29T10:49:56+01:00
2TY8,WUM,2023-03-29T10:50:33+01:00
2TY8,QYT,2023-03-29T10:57:47+01:00
JEWA,QYT,2023-03-29T10:58:47+01:00
RLX0,QJJ,2023-03-29T11:05:11+01:00
2TY8,ODU,2023-03-29T11:09:27+01:00
JEWA,ODU,2023-03-29T11:09:58+01:00
2TY8,RGJ,2023-03-29T11:14:03+01:00
RLX0,ZTK,2023-03-29T11:15:22+01:00
2TY8,EVD,2023-03-29T11:21:44+01:00
JEWA,RGJ,2023-03-29T11:22:22+01:00
RLX0,ELR,2023-03-29T11:29:18+01:00
JEWA,EVD,2023-03-29T11:30:50+01:00
2TY8,XJB,2023-03-29T11:32:55+01:00
RLX0,TWD,2023-03-29T11:43:23+01:00
JEWA,XJB,2023-03-29T11:44:25+01:00
2TY8,WQT,2023-03-29T11:46:23+01:00
2TY8,AUW,2023-03-29T11:50:28+01:00
RLX0,HBM,2023-03-29T11:54:54+01:00
JEWA,WQT,2023-03-29T12:00:01+01:00
2TY8,QNB,2023-03-29T12:02:37+01:00
RLX0,RZN,2023-03-29T12:03:27+01:00
RLX0,EVE,2023-03-29T12:07:32+01:00
JEWA,AUW,2023-03-29T12:13:25+01:00
JEWA,QNB,2023-03-29T12:21:12+01:00
RLX0,WUM,2023-03-29T12:22:38+01:00
JEWA,SOR,2023-03-29T12:23:25+01:00
RLX0,QYT,2023-03-29T12:29:52+01:00
RLX0,ODU,2023-03-29T12:35:15+01:00
JEWA,DIC,2023-03-29T12:37:05+01:00
RLX0,RGJ,2023-03-29T12:44:48+01:00
RLX0,EVD,2023-03-29T12:48:30+01:00
RLX0,XJB,2023-03-29T12:53:43+01:00
RLX0,WQT,2023-03-29T12:58:43+01:00
RLX0,AUW,2023-03-29T13:14:23+01:00
RLX0,QNB,2023-03-29T13:27:53+01:00
RLX0,SOR,2023-03-29T13:42:47+01:00
RLX0,DIC,2023-03-29T13:47:52+01:00
RLX0,HDZ,2023-03-29T14:02:47+01:00
RLX0,PVH,2023-03-29T14:14:55+01:00
